depth,TempInSitu,Serial,SalinityInSitu_1pCal
01/15/2021 10:31:42,29.38,316,33.68770423
01/15/2021 10:31:52,29.44,316,33.56079998
01/15/2021 10:32:02,29.43,316,33.62329638
01/15/2021 10:32:12,29.41,316,33.62740104
01/15/2021 10:32:22,29.37,316,33.21239321
01/15/2021 10:32:32,29.24,316,33.03796135
01/15/2021 10:32:42,29.24,316,33.818955
01/15/2021 10:32:52,29.26,316,33.765441
01/15/2021 10:33:02,29.25,316,33.78889955
01/15/2021 10:33:12,29.21,316,33.29761239
01/15/2021 10:33:22,29.22,316,33.10886029
01/15/2021 10:33:32,29.19,316,33.41767301
01/15/2021 10:33:42,29.16,316,33.08043148
01/15/2021 10:33:52,29.19,316,32.98703261
01/15/2021 10:34:02,29.16,316,32.7441798
01/15/2021 10:34:12,29.16,316,32.54566985
01/15/2021 10:34:22,29.15,316,32.5679127
01/15/2021 10:34:32,29.21,316,32.73808061
01/15/2021 10:34:42,29.24,316,32.79878143
01/15/2021 10:34:52,29.25,316,32.84833818
01/15/2021 10:35:02,29.22,316,32.84066771
01/15/2021 10:35:12,29.28,316,33.02625224
01/15/2021 10:35:22,29.3,316,33.06952504
01/15/2021 10:35:32,29.27,316,33.13154456
01/15/2021 10:35:42,29.31,316,33.39210233
01/15/2021 10:35:52,29.3,316,33.37333221
01/15/2021 10:36:02,29.3,316,33.59679284
01/15/2021 10:36:12,29.3,316,33.56428989
01/15/2021 10:36:22,29.28,316,33.63359032
01/15/2021 10:36:32,29.27,316,33.68962787
01/15/2021 10:36:42,29.27,316,33.56248984
01/15/2021 10:36:52,29.28,316,32.89379456
01/15/2021 10:37:02,29.3,316,32.97461179
01/15/2021 10:37:12,29.36,316,33.08225836
01/15/2021 10:37:22,29.27,316,32.79705039
01/15/2021 10:37:32,29.3,316,32.88323886
01/15/2021 10:37:42,29.26,316,32.68219153
01/15/2021 10:37:52,29.3,316,33.00936043
01/15/2021 10:38:02,29.27,316,32.92579364
01/15/2021 10:38:12,29.31,316,32.88267469
01/15/2021 10:38:22,29.32,316,32.91673867
01/15/2021 10:38:32,29.33,316,33.09340743
01/15/2021 10:38:42,29.22,316,32.6224521
01/15/2021 10:38:52,29.26,316,32.74769798
01/15/2021 10:39:02,29.31,316,32.9392988
01/15/2021 10:39:12,29.38,316,33.20235647
01/15/2021 10:39:22,29.39,316,33.3720156
01/15/2021 10:39:32,29.32,316,33.30792848
01/15/2021 10:39:42,29.27,316,33.89343148
01/15/2021 10:39:52,29.27,316,33.91319073
01/15/2021 10:40:02,29.24,316,33.95761868
01/15/2021 10:40:12,29.27,316,33.76499949
01/15/2021 10:40:22,29.25,316,33.93401772
01/15/2021 10:40:32,29.26,316,33.87072422
01/15/2021 10:40:42,29.27,316,33.78465728
01/15/2021 10:40:52,29.28,316,33.76778933
01/15/2021 10:41:02,29.27,316,33.72560305
01/15/2021 10:41:12,29.28,316,33.70226166
01/15/2021 10:41:22,29.3,316,33.61310246
01/15/2021 10:41:32,29.32,316,33.7003889
01/15/2021 10:41:42,29.28,316,33.57171721
01/15/2021 10:41:52,29.33,316,33.67698474
01/15/2021 10:42:02,29.31,316,33.57675347
01/15/2021 10:42:12,29.33,316,33.74244669
01/15/2021 10:42:22,29.35,316,33.66296232
01/15/2021 10:42:32,29.33,316,33.69337204
01/15/2021 10:42:42,29.35,316,33.74487026
01/15/2021 10:42:52,29.36,316,33.77069983
01/15/2021 10:43:02,29.36,316,33.71489507
01/15/2021 10:43:12,29.35,316,33.71201458
01/15/2021 10:43:22,29.35,316,33.71534537
